"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,2,-73.9598541259766,40.7140350341797,-73.8942031860352,40.702075958252,16.3,23,15.8990536277603,21,49,16,0,0,1.264
NA,2,-73.9598541259766,40.7797660827637,-73.9795303344727,40.7847785949707,9.8,15,10.9327548806941,8.3,41,16,0,0,1.297
NA,1,-74.003059387207,40.7496223449707,-73.9824142456055,40.7570686340332,11.15,14,9.57746478873239,25,76,12,0,0,1.133
NA,5,-74.0003662109375,40.7378311157227,-74.0019912719727,40.7295188903809,6.62,13,12,26.7,35,12,0,0,1.155
NA,1,-73.7819519042969,40.6445808410645,-73.989143371582,40.7349090576172,62.34,20,32.5126135216953,8.3,90,4,0,0,1.167
NA,1,-73.9849700927734,40.7280731201172,-73.9802093505859,40.7486801147461,11.8,16,8.98785425101215,26.7,40,12,0,0,1.155
NA,5,-73.9522933959961,40.7663879394531,-73.9838790893555,40.7618370056152,17,9,8.32044198895028,17.8,75,16,0,0,1.297
NA,1,-73.9535064697266,40.767219543457,-73.978630065918,40.7578582763672,9.8,9,14.6292134831461,8.3,86,8,0,1,1.264
NA,1,-73.9764404296875,40.7808303833008,-73.9456100463867,40.7738304138184,16,18,9.17171717171717,21.7,93,6,0,0,1.133
NA,3,-73.9628601074219,40.7626800537109,-73.9919891357422,40.7517585754395,11.3,18,11.3684210526316,2.8,50,16,0,0,1.284
NA,1,-74.00927734375,40.7154998779297,-73.9787216186524,40.6901893615723,15.95,21,14.5403899721448,21.1,87,14,0,0,1.133
NA,5,-74.0047988891602,40.7234306335449,-74.0082015991211,40.7113494873047,10.3,16,7.38053097345133,25.6,46,16,0,0,1.264
NA,2,-73.9742965698242,40.7621192932129,-73.9551620483399,40.7857704162598,10.3,19,13.6717557251908,24.4,46,12,0,0,1.155
NA,1,-73.988883972168,40.730655670166,-73.9862976074219,40.7272338867188,8.19,14,5.23076923076923,8.9,39,16,0,0,1.297
NA,1,-74.0029678344727,40.7603797912598,-73.9838027954102,40.7608795166016,10.3,15,7.58426966292135,3.9,49,16,0,0,1.284
NA,6,-73.9553604125977,40.7885360717773,-73.9628067016602,40.7674102783203,9.8,18,11.6637478108581,11.1,43,16,0,0,1.297
NA,1,-73.9525680541992,40.7725028991699,-73.9486236572266,40.7764358520508,4.8,0,15.3191489361702,5.6,51,16,0,0,1.284
NA,1,-73.9409332275391,40.7925872802734,-73.9560623168945,40.7846946716309,8,18,14.55525606469,7.2,60,16,0,0,1.297
NA,1,-73.972526550293,40.7494277954102,-73.9572219848633,40.7660598754883,11.76,17,12.6147540983607,25,45,16,0,0,1.264
NA,1,-73.9793548583984,40.7499656677246,-73.9716796875,40.7629508972168,8.3,20,9.54216867469879,8.9,68,16,0,0,1.297
